Date,price
2012/9/19,168.46562
2012/9/20,166.632258
2012/9/21,167.759921
2012/9/24,169.04764
2012/9/25,173.521917
2012/9/26,171.601251
2012/9/27,175.10792
2012/9/28,178.825572
2012/10/8,174.562277
2012/10/9,177.625156
2012/10/10,177.385073
2012/10/11,176.010051
2012/10/12,177.15954
2012/10/15,178.760094
2012/10/16,181.742946
2012/10/17,180.993595
2012/10/18,182.768756
2012/10/19,184.06375
2012/10/22,182.274039
2012/10/23,178.025294
2012/10/24,179.174784
2012/10/25,179.022003
2012/10/26,175.39893
2012/10/29,175.930023
2012/10/30,177.937992
2012/10/31,179.94596
2012/11/1,181.444661
2012/11/2,180.688035
2012/11/5,176.730301
2012/11/6,171.644903
2012/11/7,172.765291
2012/11/8,170.313533
2012/11/9,170.830075
2012/11/12,168.392867
2012/11/13,165.919283
2012/11/14,167.803572
2012/11/15,165.329988
2012/11/16,163.256543
2012/11/19,155.726662
2012/11/20,157.116235
2012/11/21,159.073276
2012/11/22,158.083842
2012/11/23,161.677814
2012/11/26,157.909236
2012/11/27,159.880828
2012/11/28,158.88412
2012/11/29,159.531617
2012/11/30,157.152611
2012/12/3,145.64317
2012/12/4,143.28599
2012/12/5,143.060457
2012/12/6,141.292572
2012/12/7,144.624635
2012/12/10,144.624635
2012/12/11,147.185522
2012/12/12,154.133383
2012/12/13,149.651831
2012/12/14,151.266936
2012/12/17,153.573189
2012/12/18,156.075874
2012/12/19,159.655296
2012/12/20,158.891395
2012/12/21,157.58185
2012/12/24,148.837003
2012/12/25,148.938857
2012/12/26,149.324445
2012/12/27,151.019578
2012/12/28,154.453494
2012/12/31,152.067213
2013/1/4,150.553962
2013/1/7,148.626021
2013/1/8,153.391308
2013/1/9,157.472722
2013/1/10,156.054048
2013/1/11,153.696868
2013/1/14,152.358223
2013/1/15,153.398583
2013/1/16,149.870089
2013/1/17,149.237142
2013/1/18,148.240433
2013/1/21,143.547899
2013/1/22,144.653736
2013/1/23,144.762865
2013/1/24,142.565741
2013/1/25,137.538545
2013/1/28,129.863159
2013/1/29,129.615801
2013/1/30,131.041749
2013/1/31,130.154169
2013/2/1,130.212371
2013/2/4,127.411401
2013/2/5,134.177381
2013/2/6,133.813618
2013/2/7,134.715749
2013/2/8,136.67279
2013/2/18,130.728914
2013/2/19,129.441195
2013/2/20,129.426644
2013/2/21,130.968997
2013/2/22,135.021309
2013/2/25,131.747448
2013/2/26,129.041056
2013/2/27,128.604542
2013/2/28,127.316823
2013/3/1,126.458344
2013/3/4,127.113116
2013/3/5,127.316823
2013/3/6,128.931928
2013/3/7,133.762692
2013/3/8,133.959123
2013/3/11,134.737575
2013/3/12,132.54045
2013/3/13,133.740866
2013/3/14,130.18327
2013/3/15,128.750046
2013/3/18,123.279061
2013/3/19,120.17253
2013/3/20,123.613722
2013/3/21,121.33657
2013/3/22,122.988051
2013/3/25,122.9735
2013/3/26,123.591896
2013/3/27,121.343845
2013/3/28,121.365671
2013/3/29,122.849821
2013/4/1,120.0052
2013/4/2,119.103069
2013/4/3,119.204922
2013/4/8,119.546859
2013/4/9,119.023041
2013/4/10,123.650098
2013/4/11,122.893473
2013/4/12,125.301579
2013/4/15,125.672617
2013/4/16,125.978177
2013/4/17,129.855884
2013/4/18,130.33605
2013/4/19,130.394252
2013/4/22,126.378316
2013/4/23,124.996019
2013/4/24,127.222245
2013/4/25,128.553615
2013/4/26,126.582023
2013/5/2,124.486752
2013/5/3,125.461635
2013/5/6,129.353892
2013/5/7,136.549111
2013/5/8,137.422141
2013/5/9,143.453321
2013/5/10,143.402394
2013/5/13,143.817083
2013/5/14,139.095448
2013/5/15,141.619958
2013/5/16,141.758188
2013/5/17,142.529364
2013/5/20,141.867317
2013/5/21,141.881867
2013/5/22,145.119352
2013/5/23,147.280101
2013/5/24,146.181538
2013/5/27,146.690806
2013/5/28,147.061843
2013/5/29,146.588952
2013/5/30,145.686822
2013/5/31,143.395119
2013/6/3,147.018192
2013/6/4,146.741732
2013/6/5,146.356144
2013/6/6,146.712631
2013/6/7,147.479119
2013/6/13,146.314375
2013/6/14,145.795876
2013/6/17,142.384304
2013/6/18,144.014945
2013/6/19,146.404549
2013/6/20,144.082576
2013/6/21,143.654251
2013/6/24,139.483716
2013/6/25,142.654825
2013/6/26,141.813204
2013/6/27,142.459449
2013/6/28,144.555988
2013/7/1,145.998767
2013/7/2,148.749066
2013/7/3,148.764095
2013/7/4,147.74964
2013/7/5,148.125364
2013/7/8,146.652527
2013/7/9,144.315525
2013/7/10,145.660616
2013/7/11,147.261199
2013/7/12,141.880834
2013/7/15,141.234589
2013/7/16,143.488932
2013/7/17,140.460598
2013/7/18,139.07042
2013/7/19,132.262304
2013/7/22,131.413168
2013/7/23,134.952487
2013/7/24,131.217792
2013/7/25,134.313756
2013/7/26,131.480798
2013/7/29,128.738014
2013/7/30,126.566331
2013/7/31,126.618932
2013/8/1,129.16634
2013/8/2,132.277333
2013/8/5,131.879066
2013/8/6,131.676175
2013/8/7,132.54034
2013/8/8,131.623573
2013/8/9,129.8727
2013/8/12,133.990634
2013/8/13,135.223008
2013/8/14,134.276184
2013/8/15,133.351903
2013/8/16,131.052473
2013/8/19,131.631088
2013/8/20,130.45883
2013/8/21,131.270393
2013/8/22,131.563458
2013/8/23,129.992932
2013/8/26,130.706807
2013/8/27,130.113164
2013/8/28,127.670959
2013/8/29,126.603903
2013/8/30,126.829337
2013/9/2,114.15993
2013/9/3,113.964553
2013/9/4,114.29519
2013/9/5,112.920041
2013/9/6,112.927555
2013/9/9,113.431025
2013/9/10,113.934495
2013/9/11,114.648371
2013/9/12,114.017155
2013/9/13,114.235074
2013/9/16,112.454143
2013/9/17,106.179555
2013/9/18,106.630424
2013/9/23,105.811346
2013/9/24,102.798041
2013/9/25,101.565667
2013/9/26,101.761043
2013/9/27,100.739074
2013/9/30,102.151796
2013/10/8,102.700353
2013/10/9,102.940816
2013/10/10,102.978388
2013/10/11,103.339083
2013/10/14,104.939667
2013/10/15,108.396326
2013/10/16,108.388812
2013/10/17,108.351239
2013/10/18,107.441988
2013/10/21,109.027542
2013/10/22,107.772624
2013/10/23,107.975515
2013/10/24,107.990544
2013/10/25,102.74544
2013/10/28,100.671444
2013/10/29,99.79225
2013/10/30,99.634446
2013/10/31,101.528094
2013/11/1,101.580696
2013/11/4,102.452375
2013/11/5,103.782437
2013/11/6,104.939667
2013/11/7,104.428682
2013/11/8,102.302085
2013/11/11,104.864522
2013/11/12,108.83968
2013/11/13,108.749506
2013/11/14,108.261065
2013/11/15,107.787653
2013/11/18,107.825226
2013/11/19,107.321756
2013/11/20,106.750656
2013/11/21,104.195734
2013/11/22,104.052959
2013/11/25,105.90152
2013/11/26,105.187645
2013/11/27,105.165101
2013/11/28,106.577823
2013/11/29,106.284758
2013/12/2,102.783012
